3  listening on:  130.127.134.101:3001
3  sending request vote to the follower  4
3  sending request vote to the follower  2
3  sending request vote to the follower  0
3  sending request vote to the follower  1
Commit quorum changed successfully!, time:  1692686706780287331  commit quorum:  [4]
3 Leader sending wake to change the crashed follower:  4  commit quorum
Quourm adapter wake
[4]  Meets Latency req:  false  EWMA:  map[0:Id: 0, EWMA: 54975537.192868 1:Id: 1, EWMA: 54821888.822559 2:Id: 2, EWMA: 27137727.688772 4:Id: 4, EWMA: 1500000000.000000]
3  Leader changing commit quorum:  [2]  time:  1692686711519550441
3  Leader changing EWMA Map:  map[0:Id: 0, EWMA: 54975537.192868 1:Id: 1, EWMA: 54821888.822559 2:Id: 2, EWMA: 27137727.688772 4:Id: 4, EWMA: 1500000000.000000]
Sending message to all the nodes as !ok.
Commit quorum changed successfully!, time:  1692686711574884330  commit quorum:  [2]
[2]  Meets Latency req:  true  EWMA:  map[0:Id: 0, EWMA: 54982215.737396 1:Id: 1, EWMA: 54842759.878515 2:Id: 2, EWMA: 26844074.962632 4:Id: 4, EWMA: 1500000000.000000]
[2]  Meets Latency req:  true  EWMA:  map[0:Id: 0, EWMA: 54911036.311151 1:Id: 1, EWMA: 54826680.710818 2:Id: 2, EWMA: 26837153.862911 4:Id: 4, EWMA: 1500000000.000000]
[2]  Meets Latency req:  true  EWMA:  map[0:Id: 0, EWMA: 54907863.597844 1:Id: 1, EWMA: 54836287.211060 2:Id: 2, EWMA: 26867269.537155 4:Id: 4, EWMA: 1500000000.000000]
2023-08-22 06:45:47.667134845 +0000 UTC m=+56.069674359 ,  2023-08-22 06:45:47.702748486 +0000 UTC m=+56.105288020 ,  35613530
2023-08-22 06:45:47.731957021 +0000 UTC m=+56.134496576 ,  2023-08-22 06:45:47.76525148 +0000 UTC m=+56.167791014 ,  33294298
2023-08-22 06:45:48.027308647 +0000 UTC m=+56.429848181 ,  2023-08-22 06:45:48.055724127 +0000 UTC m=+56.458263661 ,  28415350
2023-08-22 06:45:48.084863292 +0000 UTC m=+56.487402826 ,  2023-08-22 06:45:48.120721624 +0000 UTC m=+56.523261158 ,  35858142
2023-08-22 06:45:48.383921653 +0000 UTC m=+56.786461157 ,  2023-08-22 06:45:48.420068659 +0000 UTC m=+56.822608194 ,  36146906
2023-08-22 06:45:48.449241768 +0000 UTC m=+56.851781302 ,  2023-08-22 06:45:48.483738794 +0000 UTC m=+56.886278328 ,  34496875
2023-08-22 06:45:48.746635142 +0000 UTC m=+57.149174687 ,  2023-08-22 06:45:48.782586198 +0000 UTC m=+57.185125733 ,  35950905
2023-08-22 06:45:48.812045077 +0000 UTC m=+57.214584611 ,  2023-08-22 06:45:48.845400821 +0000 UTC m=+57.247940345 ,  33355613
2023-08-22 06:45:49.108086851 +0000 UTC m=+57.510626375 ,  2023-08-22 06:45:49.145376622 +0000 UTC m=+57.547916156 ,  37289611
2023-08-22 06:45:49.174621366 +0000 UTC m=+57.577160890 ,  2023-08-22 06:45:49.209103053 +0000 UTC m=+57.611642567 ,  34481597
2023-08-22 06:45:49.47170222 +0000 UTC m=+57.874241724 ,  2023-08-22 06:45:49.507936461 +0000 UTC m=+57.910475995 ,  36233840
2023-08-22 06:45:49.537166657 +0000 UTC m=+57.939706191 ,  2023-08-22 06:45:49.570527621 +0000 UTC m=+57.973067156 ,  33360814
2023-08-22 06:45:49.832913306 +0000 UTC m=+58.235452820 ,  2023-08-22 06:45:49.869253788 +0000 UTC m=+58.271793302 ,  36340411
2023-08-22 06:45:49.89824844 +0000 UTC m=+58.300787974 ,  2023-08-22 06:45:49.933759337 +0000 UTC m=+58.336298851 ,  35510797
2023-08-22 06:45:50.195993497 +0000 UTC m=+58.598533041 ,  2023-08-22 06:45:50.233307094 +0000 UTC m=+58.635846628 ,  37313456
2023-08-22 06:45:50.26252141 +0000 UTC m=+58.665060944 ,  2023-08-22 06:45:50.295915828 +0000 UTC m=+58.698455362 ,  33394287
2023-08-22 06:45:50.558269792 +0000 UTC m=+58.960809317 ,  2023-08-22 06:45:50.59556819 +0000 UTC m=+58.998107724 ,  37298257
2023-08-22 06:45:50.624633365 +0000 UTC m=+59.027172889 ,  2023-08-22 06:45:50.658983114 +0000 UTC m=+59.061522648 ,  34349578
2023-08-22 06:45:50.921610113 +0000 UTC m=+59.324149628 ,  2023-08-22 06:45:50.958859098 +0000 UTC m=+59.361398632 ,  37248874
2023-08-22 06:45:50.988141112 +0000 UTC m=+59.390680646 ,  2023-08-22 06:45:51.021886721 +0000 UTC m=+59.424426245 ,  33745489
2023-08-22 06:45:51.284414613 +0000 UTC m=+59.686954147 ,  2023-08-22 06:45:51.321763776 +0000 UTC m=+59.724303290 ,  37349063
2023-08-22 06:45:51.350879196 +0000 UTC m=+59.753418730 ,  2023-08-22 06:45:51.384607402 +0000 UTC m=+59.787146947 ,  33728056
[2]  Meets Latency req:  true  EWMA:  map[0:Id: 0, EWMA: 43277190.758516 1:Id: 1, EWMA: 43218898.586663 2:Id: 2, EWMA: 26999719.874710 4:Id: 4, EWMA: 1500000000.000000]
2023-08-22 06:45:51.647373786 +0000 UTC m=+60.049913300 ,  2023-08-22 06:45:51.684759588 +0000 UTC m=+60.087299112 ,  37385681
2023-08-22 06:45:51.714015353 +0000 UTC m=+60.116554887 ,  2023-08-22 06:45:51.747504649 +0000 UTC m=+60.150044183 ,  33489175
2023-08-22 06:45:52.010403442 +0000 UTC m=+60.412942946 ,  2023-08-22 06:45:52.047941861 +0000 UTC m=+60.450481395 ,  37538319
2023-08-22 06:45:52.076995775 +0000 UTC m=+60.479535289 ,  2023-08-22 06:45:52.110565432 +0000 UTC m=+60.513104946 ,  33569597
2023-08-22 06:45:52.373375538 +0000 UTC m=+60.775915042 ,  2023-08-22 06:45:52.410971987 +0000 UTC m=+60.813511521 ,  37596339
2023-08-22 06:45:52.440328071 +0000 UTC m=+60.842867616 ,  2023-08-22 06:45:52.47391945 +0000 UTC m=+60.876458954 ,  33591278
2023-08-22 06:45:52.736651068 +0000 UTC m=+61.139190582 ,  2023-08-22 06:45:52.773297947 +0000 UTC m=+61.175837491 ,  36646748
2023-08-22 06:45:52.802464533 +0000 UTC m=+61.205004057 ,  2023-08-22 06:45:52.835980249 +0000 UTC m=+61.238519793 ,  33515245
2023-08-22 06:45:53.098574156 +0000 UTC m=+61.501113691 ,  2023-08-22 06:45:53.135790659 +0000 UTC m=+61.538330193 ,  37216312
2023-08-22 06:45:53.164949601 +0000 UTC m=+61.567489136 ,  2023-08-22 06:45:53.198221317 +0000 UTC m=+61.600760852 ,  33271575
2023-08-22 06:45:53.460951081 +0000 UTC m=+61.863490595 ,  2023-08-22 06:45:53.498342454 +0000 UTC m=+61.900881989 ,  37391263
2023-08-22 06:45:53.527485106 +0000 UTC m=+61.930024640 ,  2023-08-22 06:45:53.560869884 +0000 UTC m=+61.963409418 ,  33384638
2023-08-22 06:45:53.823594629 +0000 UTC m=+62.226134173 ,  2023-08-22 06:45:53.857948544 +0000 UTC m=+62.260488088 ,  34353755
2023-08-22 06:45:53.887066289 +0000 UTC m=+62.289605803 ,  2023-08-22 06:45:53.922327295 +0000 UTC m=+62.324866839 ,  35260876
2023-08-22 06:45:54.184729671 +0000 UTC m=+62.587269185 ,  2023-08-22 06:45:54.222244827 +0000 UTC m=+62.624784361 ,  37515036
2023-08-22 06:45:54.251473841 +0000 UTC m=+62.654013375 ,  2023-08-22 06:45:54.285106127 +0000 UTC m=+62.687645651 ,  33632145
2023-08-22 06:45:54.548051497 +0000 UTC m=+62.950591011 ,  2023-08-22 06:45:54.58550189 +0000 UTC m=+62.988041414 ,  37450273
2023-08-22 06:45:54.614647857 +0000 UTC m=+63.017187382 ,  2023-08-22 06:45:54.648908057 +0000 UTC m=+63.051447571 ,  34260109
2023-08-22 06:45:54.911910976 +0000 UTC m=+63.314450510 ,  2023-08-22 06:45:54.949331684 +0000 UTC m=+63.351871218 ,  37420568
2023-08-22 06:45:54.978656308 +0000 UTC m=+63.381195833 ,  2023-08-22 06:45:55.012517806 +0000 UTC m=+63.415057340 ,  33861357
2023-08-22 06:45:55.275311732 +0000 UTC m=+63.677851236 ,  2023-08-22 06:45:55.312798354 +0000 UTC m=+63.715337888 ,  37486461
2023-08-22 06:45:55.342034782 +0000 UTC m=+63.744574286 ,  2023-08-22 06:45:55.375293624 +0000 UTC m=+63.777833148 ,  33258781
2023-08-22 06:45:55.637951942 +0000 UTC m=+64.040491457 ,  2023-08-22 06:45:55.666456771 +0000 UTC m=+64.068996305 ,  28504698
2023-08-22 06:45:55.695983918 +0000 UTC m=+64.098523452 ,  2023-08-22 06:45:55.728513394 +0000 UTC m=+64.131052938 ,  32529326
2023-08-22 06:45:55.991363895 +0000 UTC m=+64.393903410 ,  2023-08-22 06:45:56.028672481 +0000 UTC m=+64.431212015 ,  37308465
2023-08-22 06:45:56.057928436 +0000 UTC m=+64.460467950 ,  2023-08-22 06:45:56.091590547 +0000 UTC m=+64.494130081 ,  33661971
2023-08-22 06:45:56.354055902 +0000 UTC m=+64.756595406 ,  2023-08-22 06:45:56.390185906 +0000 UTC m=+64.792725430 ,  36129914
2023-08-22 06:45:56.41933494 +0000 UTC m=+64.821874474 ,  2023-08-22 06:45:56.451942643 +0000 UTC m=+64.854482178 ,  32607563
2023-08-22 06:45:56.714379375 +0000 UTC m=+65.116918880 ,  2023-08-22 06:45:56.750881541 +0000 UTC m=+65.153421075 ,  36501734
2023-08-22 06:45:56.780008573 +0000 UTC m=+65.182548107 ,  2023-08-22 06:45:56.81365245 +0000 UTC m=+65.216191984 ,  33643747
2023-08-22 06:45:57.076530042 +0000 UTC m=+65.479069546 ,  2023-08-22 06:45:57.114080625 +0000 UTC m=+65.516620149 ,  37550482
2023-08-22 06:45:57.143206815 +0000 UTC m=+65.545746339 ,  2023-08-22 06:45:57.176670091 +0000 UTC m=+65.579209605 ,  33463146
2023-08-22 06:45:57.439356323 +0000 UTC m=+65.841895827 ,  2023-08-22 06:45:57.476868614 +0000 UTC m=+65.879408148 ,  37512160
2023-08-22 06:45:57.506109561 +0000 UTC m=+65.908649095 ,  2023-08-22 06:45:57.539477779 +0000 UTC m=+65.942017303 ,  33368087
2023-08-22 06:45:57.801938845 +0000 UTC m=+66.204478349 ,  2023-08-22 06:45:57.839261328 +0000 UTC m=+66.241800842 ,  37322413
2023-08-22 06:45:57.868386797 +0000 UTC m=+66.270926321 ,  2023-08-22 06:45:57.903046289 +0000 UTC m=+66.305585803 ,  34659422
2023-08-22 06:45:58.165372811 +0000 UTC m=+66.567912315 ,  2023-08-22 06:45:58.201963424 +0000 UTC m=+66.604502958 ,  36590503
2023-08-22 06:45:58.231170948 +0000 UTC m=+66.633710482 ,  2023-08-22 06:45:58.264878655 +0000 UTC m=+66.667418189 ,  33707547
2023-08-22 06:45:58.527594394 +0000 UTC m=+66.930133928 ,  2023-08-22 06:45:58.564935802 +0000 UTC m=+66.967475336 ,  37341278
2023-08-22 06:45:58.594107297 +0000 UTC m=+66.996646821 ,  2023-08-22 06:45:58.62700579 +0000 UTC m=+67.029545304 ,  32898383
2023-08-22 06:45:58.889970245 +0000 UTC m=+67.292509780 ,  2023-08-22 06:45:58.927065519 +0000 UTC m=+67.329605054 ,  37095133
2023-08-22 06:45:58.956265539 +0000 UTC m=+67.358805073 ,  2023-08-22 06:45:58.9897206 +0000 UTC m=+67.392260114 ,  33454971
2023-08-22 06:45:59.252414577 +0000 UTC m=+67.654954081 ,  2023-08-22 06:45:59.288710283 +0000 UTC m=+67.691249817 ,  36295606
2023-08-22 06:45:59.317890846 +0000 UTC m=+67.720430370 ,  2023-08-22 06:45:59.35170237 +0000 UTC m=+67.754241914 ,  33811373
2023-08-22 06:45:59.614958355 +0000 UTC m=+68.017497859 ,  2023-08-22 06:45:59.651314675 +0000 UTC m=+68.053854199 ,  36356160
2023-08-22 06:45:59.680537248 +0000 UTC m=+68.083076782 ,  2023-08-22 06:45:59.71390285 +0000 UTC m=+68.116442384 ,  33365442
2023-08-22 06:45:59.980432107 +0000 UTC m=+68.382971641 ,  2023-08-22 06:46:00.013013221 +0000 UTC m=+68.415552765 ,  32580944
2023-08-22 06:46:00.042374294 +0000 UTC m=+68.444913818 ,  2023-08-22 06:46:00.076087562 +0000 UTC m=+68.478627096 ,  33713118
2023-08-22 06:46:00.338837095 +0000 UTC m=+68.741376609 ,  2023-08-22 06:46:00.370168112 +0000 UTC m=+68.772707626 ,  31330927
2023-08-22 06:46:00.399236363 +0000 UTC m=+68.801775888 ,  2023-08-22 06:46:00.428566308 +0000 UTC m=+68.831105822 ,  29329863
2023-08-22 06:46:00.690879727 +0000 UTC m=+69.093419241 ,  2023-08-22 06:46:00.72817593 +0000 UTC m=+69.130715454 ,  37296113
2023-08-22 06:46:00.757225165 +0000 UTC m=+69.159764699 ,  2023-08-22 06:46:00.790749838 +0000 UTC m=+69.193289372 ,  33524533
2023-08-22 06:46:01.053228709 +0000 UTC m=+69.455768223 ,  2023-08-22 06:46:01.088618298 +0000 UTC m=+69.491157832 ,  35389398
2023-08-22 06:46:01.117769695 +0000 UTC m=+69.520309209 ,  2023-08-22 06:46:01.152818441 +0000 UTC m=+69.555357955 ,  35048666
2023-08-22 06:46:01.415232869 +0000 UTC m=+69.817772414 ,  2023-08-22 06:46:01.44983293 +0000 UTC m=+69.852372464 ,  34599919
2023-08-22 06:46:01.47893788 +0000 UTC m=+69.881477414 ,  2023-08-22 06:46:01.512392962 +0000 UTC m=+69.914932466 ,  33454971
[2]  Meets Latency req:  true  EWMA:  map[0:Id: 0, EWMA: 46120197.242451 1:Id: 1, EWMA: 46011336.071090 2:Id: 2, EWMA: 27105971.382994 4:Id: 4, EWMA: 1500000000.000000]
2023-08-22 06:46:01.774650635 +0000 UTC m=+70.177190189 ,  2023-08-22 06:46:01.812296306 +0000 UTC m=+70.214835841 ,  37645511
2023-08-22 06:46:01.841523978 +0000 UTC m=+70.244063512 ,  2023-08-22 06:46:01.873884005 +0000 UTC m=+70.276423519 ,  32359937
2023-08-22 06:46:02.136318552 +0000 UTC m=+70.538858056 ,  2023-08-22 06:46:02.172585585 +0000 UTC m=+70.575125119 ,  36266903
2023-08-22 06:46:02.20173574 +0000 UTC m=+70.604275254 ,  2023-08-22 06:46:02.235460129 +0000 UTC m=+70.637999653 ,  33724229
2023-08-22 06:46:02.497384933 +0000 UTC m=+70.899924478 ,  2023-08-22 06:46:02.525787881 +0000 UTC m=+70.928327415 ,  28402796
2023-08-22 06:46:02.554929501 +0000 UTC m=+70.957469035 ,  2023-08-22 06:46:02.588629985 +0000 UTC m=+70.991169519 ,  33700354
2023-08-22 06:46:02.850864935 +0000 UTC m=+71.253404439 ,  2023-08-22 06:46:02.888573114 +0000 UTC m=+71.291112628 ,  37708089
2023-08-22 06:46:02.917648949 +0000 UTC m=+71.320188483 ,  2023-08-22 06:46:02.95141628 +0000 UTC m=+71.353955824 ,  33767180
2023-08-22 06:46:03.213507779 +0000 UTC m=+71.616047303 ,  2023-08-22 06:46:03.251064783 +0000 UTC m=+71.653604317 ,  37556884
2023-08-22 06:46:03.280227533 +0000 UTC m=+71.682767067 ,  2023-08-22 06:46:03.313664881 +0000 UTC m=+71.716204415 ,  33437207
2023-08-22 06:46:03.575742725 +0000 UTC m=+71.978282239 ,  2023-08-22 06:46:03.612580423 +0000 UTC m=+72.015119937 ,  36837538
2023-08-22 06:46:03.641711312 +0000 UTC m=+72.044250826 ,  2023-08-22 06:46:03.674357449 +0000 UTC m=+72.076896983 ,  32646027
2023-08-22 06:46:03.936754415 +0000 UTC m=+72.339293919 ,  2023-08-22 06:46:03.96521974 +0000 UTC m=+72.367759274 ,  28465215
2023-08-22 06:46:03.994598697 +0000 UTC m=+72.397138231 ,  2023-08-22 06:46:04.028208279 +0000 UTC m=+72.430747813 ,  33609442
2023-08-22 06:46:04.291109086 +0000 UTC m=+72.693648590 ,  2023-08-22 06:46:04.328928856 +0000 UTC m=+72.731468390 ,  37819640
2023-08-22 06:46:04.358053764 +0000 UTC m=+72.760593298 ,  2023-08-22 06:46:04.39094352 +0000 UTC m=+72.793483054 ,  32889605
2023-08-22 06:46:04.653711124 +0000 UTC m=+73.056250628 ,  2023-08-22 06:46:04.690534996 +0000 UTC m=+73.093074520 ,  36823762
2023-08-22 06:46:04.719592226 +0000 UTC m=+73.122131760 ,  2023-08-22 06:46:04.753295836 +0000 UTC m=+73.155835370 ,  33703470
2023-08-22 06:46:05.01555886 +0000 UTC m=+73.418098374 ,  2023-08-22 06:46:05.053053097 +0000 UTC m=+73.455592631 ,  37494117
2023-08-22 06:46:05.082136978 +0000 UTC m=+73.484676492 ,  2023-08-22 06:46:05.115700554 +0000 UTC m=+73.518240058 ,  33563506
2023-08-22 06:46:05.37827247 +0000 UTC m=+73.780811974 ,  2023-08-22 06:46:05.415530732 +0000 UTC m=+73.818070256 ,  37258141
2023-08-22 06:46:05.444625032 +0000 UTC m=+73.847164557 ,  2023-08-22 06:46:05.47827939 +0000 UTC m=+73.880818924 ,  33654207
2023-08-22 06:46:05.507657104 +0000 UTC m=+73.910196638 ,  2023-08-22 06:46:05.541376915 +0000 UTC m=+73.943916459 ,  33719560
2023-08-22 06:46:05.50761759 +0000 UTC m=+73.910157124 ,  2023-08-22 06:46:05.541396582 +0000 UTC m=+73.943936116 ,  33778571
2023-08-22 06:46:05.507735763 +0000 UTC m=+73.910275307 ,  2023-08-22 06:46:05.541463648 +0000 UTC m=+73.944003182 ,  33727214
2023-08-22 06:46:05.507993438 +0000 UTC m=+73.910532962 ,  2023-08-22 06:46:05.541545473 +0000 UTC m=+73.944084997 ,  33551894
2023-08-22 06:46:05.507780447 +0000 UTC m=+73.910319991 ,  2023-08-22 06:46:05.541527519 +0000 UTC m=+73.944067043 ,  33746871
2023-08-22 06:46:05.508013917 +0000 UTC m=+73.910553441 ,  2023-08-22 06:46:05.541594004 +0000 UTC m=+73.944133548 ,  33579797
2023-08-22 06:46:05.508190811 +0000 UTC m=+73.910730345 ,  2023-08-22 06:46:05.54163947 +0000 UTC m=+73.944178994 ,  33448549
2023-08-22 06:46:05.507700847 +0000 UTC m=+73.910240381 ,  2023-08-22 06:46:05.541498975 +0000 UTC m=+73.944038509 ,  33797387
2023-08-22 06:46:05.508524199 +0000 UTC m=+73.911063703 ,  2023-08-22 06:46:05.541700565 +0000 UTC m=+73.944240099 ,  33176296
2023-08-22 06:46:05.508007485 +0000 UTC m=+73.910547019 ,  2023-08-22 06:46:05.541537447 +0000 UTC m=+73.944076982 ,  33529712
2023-08-22 06:46:05.508236587 +0000 UTC m=+73.910776111 ,  2023-08-22 06:46:05.541641043 +0000 UTC m=+73.944180577 ,  33404265
2023-08-22 06:46:05.508411146 +0000 UTC m=+73.910950680 ,  2023-08-22 06:46:05.541666962 +0000 UTC m=+73.944206496 ,  33255605
2023-08-22 06:46:05.508186472 +0000 UTC m=+73.910726057 ,  2023-08-22 06:46:05.541585067 +0000 UTC m=+73.944124591 ,  33398154
2023-08-22 06:46:05.508294306 +0000 UTC m=+73.910833840 ,  2023-08-22 06:46:05.541692921 +0000 UTC m=+73.944232465 ,  33398124
2023-08-22 06:46:05.508415264 +0000 UTC m=+73.910954788 ,  2023-08-22 06:46:05.541725973 +0000 UTC m=+73.944265497 ,  33310609
2023-08-22 06:46:05.507820372 +0000 UTC m=+73.910359906 ,  2023-08-22 06:46:05.541516859 +0000 UTC m=+73.944056403 ,  33696246
2023-08-22 06:46:05.508605322 +0000 UTC m=+73.911144836 ,  2023-08-22 06:46:05.541755589 +0000 UTC m=+73.944295113 ,  33150137
2023-08-22 06:46:05.50972843 +0000 UTC m=+73.912267934 ,  2023-08-22 06:46:05.541756851 +0000 UTC m=+73.944296385 ,  32028351
2023-08-22 06:46:05.509741624 +0000 UTC m=+73.912281128 ,  2023-08-22 06:46:05.541796015 +0000 UTC m=+73.944335539 ,  32054311
2023-08-22 06:46:05.50987212 +0000 UTC m=+73.912411624 ,  2023-08-22 06:46:05.541819439 +0000 UTC m=+73.944358963 ,  31947239
2023-08-22 06:46:05.508608398 +0000 UTC m=+73.911147902 ,  2023-08-22 06:46:05.54181461 +0000 UTC m=+73.944354134 ,  33205881
2023-08-22 06:46:05.509799754 +0000 UTC m=+73.912339258 ,  2023-08-22 06:46:05.541836501 +0000 UTC m=+73.944376025 ,  32036667
2023-08-22 06:46:05.509661483 +0000 UTC m=+73.912200987 ,  2023-08-22 06:46:05.541832424 +0000 UTC m=+73.944371948 ,  32170520
2023-08-22 06:46:05.510896572 +0000 UTC m=+73.913436076 ,  2023-08-22 06:46:05.541838305 +0000 UTC m=+73.944377829 ,  30941572
2023-08-22 06:46:05.509704955 +0000 UTC m=+73.912244469 ,  2023-08-22 06:46:05.541861368 +0000 UTC m=+73.944400902 ,  32156323
2023-08-22 06:46:05.509794975 +0000 UTC m=+73.912336012 ,  2023-08-22 06:46:05.541862891 +0000 UTC m=+73.944402415 ,  32066283
2023-08-22 06:46:05.509799974 +0000 UTC m=+73.912339488 ,  2023-08-22 06:46:05.541877689 +0000 UTC m=+73.944417213 ,  32077625
2023-08-22 06:46:05.509829931 +0000 UTC m=+73.912369445 ,  2023-08-22 06:46:05.541883941 +0000 UTC m=+73.944423475 ,  32053930
2023-08-22 06:46:05.509822667 +0000 UTC m=+73.912362171 ,  2023-08-22 06:46:05.541894721 +0000 UTC m=+73.944434245 ,  32071974
2023-08-22 06:46:05.509820623 +0000 UTC m=+73.912360137 ,  2023-08-22 06:46:05.54189941 +0000 UTC m=+73.944438944 ,  32078697
2023-08-22 06:46:05.510930977 +0000 UTC m=+73.913470481 ,  2023-08-22 06:46:05.54191012 +0000 UTC m=+73.944449654 ,  30979073
2023-08-22 06:46:05.509901516 +0000 UTC m=+73.912441020 ,  2023-08-22 06:46:05.541922143 +0000 UTC m=+73.944461677 ,  32020547
2023-08-22 06:46:05.509890645 +0000 UTC m=+73.912430159 ,  2023-08-22 06:46:05.5419206 +0000 UTC m=+73.944460134 ,  32029875
2023-08-22 06:46:05.509805575 +0000 UTC m=+73.912345089 ,  2023-08-22 06:46:05.541930789 +0000 UTC m=+73.944470323 ,  32125134
2023-08-22 06:46:05.509906786 +0000 UTC m=+73.912446290 ,  2023-08-22 06:46:05.541933143 +0000 UTC m=+73.944472678 ,  32026287
