3  listening on:  130.127.134.101:3001
3  sending request vote to the follower  4
3  sending request vote to the follower  1
3  sending request vote to the follower  0
3  sending request vote to the follower  2
Commit quorum changed successfully!, time:  1692687134776017594  commit quorum:  [4]
3 Leader sending wake to change the crashed follower:  4  commit quorum
Quourm adapter wake
[4]  Meets Latency req:  false  EWMA:  map[0:Id: 0, EWMA: 55017890.147840 1:Id: 1, EWMA: 54984432.472648 2:Id: 2, EWMA: 26980820.356625 4:Id: 4, EWMA: 1500000000.000000]
3  Leader changing commit quorum:  [2]  time:  1692687139510367424
3  Leader changing EWMA Map:  map[0:Id: 0, EWMA: 55017890.147840 1:Id: 1, EWMA: 54984432.472648 2:Id: 2, EWMA: 26980820.356625 4:Id: 4, EWMA: 1500000000.000000]
Sending message to all the nodes as !ok.
Commit quorum changed successfully!, time:  1692687139565899733  commit quorum:  [2]
2023-08-22 06:52:25.327705368 +0000 UTC m=+25.734395517 ,  2023-08-22 06:52:25.363208999 +0000 UTC m=+25.769899148 ,  35503461
2023-08-22 06:52:25.392804873 +0000 UTC m=+25.799495002 ,  2023-08-22 06:52:25.424899978 +0000 UTC m=+25.831590117 ,  32094985
2023-08-22 06:52:25.687572316 +0000 UTC m=+26.094262425 ,  2023-08-22 06:52:25.724033172 +0000 UTC m=+26.130723311 ,  36460736
2023-08-22 06:52:25.753213182 +0000 UTC m=+26.159903291 ,  2023-08-22 06:52:25.786628958 +0000 UTC m=+26.193319097 ,  33415676
2023-08-22 06:52:26.049650905 +0000 UTC m=+26.456341024 ,  2023-08-22 06:52:26.086787956 +0000 UTC m=+26.493478095 ,  37136941
2023-08-22 06:52:26.115637814 +0000 UTC m=+26.522327943 ,  2023-08-22 06:52:26.148960583 +0000 UTC m=+26.555650723 ,  33322649
2023-08-22 06:52:26.411247225 +0000 UTC m=+26.817937334 ,  2023-08-22 06:52:26.448266634 +0000 UTC m=+26.854956773 ,  37019299
2023-08-22 06:52:26.477430824 +0000 UTC m=+26.884120953 ,  2023-08-22 06:52:26.510798679 +0000 UTC m=+26.917488818 ,  33367735
2023-08-22 06:52:26.773531271 +0000 UTC m=+27.180221380 ,  2023-08-22 06:52:26.808763741 +0000 UTC m=+27.215453870 ,  35232350
2023-08-22 06:52:26.837893736 +0000 UTC m=+27.244583865 ,  2023-08-22 06:52:26.870980422 +0000 UTC m=+27.277670561 ,  33086566
2023-08-22 06:52:27.133743271 +0000 UTC m=+27.540433380 ,  2023-08-22 06:52:27.170606585 +0000 UTC m=+27.577296724 ,  36863214
