3  listening on:  130.127.134.101:3001
3  sending request vote to the follower  4
3  sending request vote to the follower  2
3  sending request vote to the follower  1
3  sending request vote to the follower  0
Commit quorum changed successfully!, time:  1692688295369219718  commit quorum:  [4]
2023-08-22 07:11:39.32690449 +0000 UTC m=+19.056853662 ,  2023-08-22 07:11:39.33511821 +0000 UTC m=+19.065067382 ,  8213159
2023-08-22 07:11:39.364642031 +0000 UTC m=+19.094591203 ,  2023-08-22 07:11:39.36641356 +0000 UTC m=+19.096362702 ,  1771439
2023-08-22 07:11:39.629148454 +0000 UTC m=+19.359097606 ,  2023-08-22 07:11:39.633901703 +0000 UTC m=+19.363850875 ,  4753129
2023-08-22 07:11:39.663001236 +0000 UTC m=+19.392950398 ,  2023-08-22 07:11:39.665749726 +0000 UTC m=+19.395698898 ,  2748360
2023-08-22 07:11:39.928377718 +0000 UTC m=+19.658326890 ,  2023-08-22 07:11:39.934018479 +0000 UTC m=+19.663967631 ,  5640671
2023-08-22 07:11:39.963131427 +0000 UTC m=+19.693080589 ,  2023-08-22 07:11:39.965835433 +0000 UTC m=+19.695784585 ,  2703926
2023-08-22 07:11:40.228509573 +0000 UTC m=+19.958458745 ,  2023-08-22 07:11:40.234280219 +0000 UTC m=+19.964229361 ,  5770175
2023-08-22 07:11:40.263535564 +0000 UTC m=+19.993484746 ,  2023-08-22 07:11:40.266325101 +0000 UTC m=+19.996274254 ,  2789437
2023-08-22 07:11:40.528981969 +0000 UTC m=+20.258931171 ,  2023-08-22 07:11:40.534791839 +0000 UTC m=+20.264740981 ,  5809750
2023-08-22 07:11:40.564032266 +0000 UTC m=+20.293981438 ,  2023-08-22 07:11:40.566839557 +0000 UTC m=+20.296788729 ,  2807161
2023-08-22 07:11:40.829363955 +0000 UTC m=+20.559313137 ,  2023-08-22 07:11:40.835732938 +0000 UTC m=+20.565682090 ,  6368593
2023-08-22 07:11:40.864856095 +0000 UTC m=+20.594805277 ,  2023-08-22 07:11:40.866502338 +0000 UTC m=+20.596451480 ,  1646133
2023-08-22 07:11:41.129141992 +0000 UTC m=+20.859091164 ,  2023-08-22 07:11:41.134719083 +0000 UTC m=+20.864668245 ,  5576951
2023-08-22 07:11:41.163933873 +0000 UTC m=+20.893883045 ,  2023-08-22 07:11:41.166807308 +0000 UTC m=+20.896756480 ,  2873305
2023-08-22 07:11:41.429588749 +0000 UTC m=+21.159537931 ,  2023-08-22 07:11:41.43548396 +0000 UTC m=+21.165433132 ,  5895061
2023-08-22 07:11:41.464575257 +0000 UTC m=+21.194524439 ,  2023-08-22 07:11:41.467761682 +0000 UTC m=+21.197710824 ,  3186315
