3  listening on:  130.127.134.101:3001
3  sending request vote to the follower  4
3  sending request vote to the follower  2
3  sending request vote to the follower  0
3  sending request vote to the follower  1
Commit quorum changed successfully!, time:  1692690370338875443  commit quorum:  [0]
[0]  Meets Latency req:  false  EWMA:  map[0:Id: 0, EWMA: 56485773.336345 1:Id: 1, EWMA: 56417489.832537 2:Id: 2, EWMA: 27119380.112481 4:Id: 4, EWMA: 449854.877943]
3  Leader changing commit quorum:  [4]  time:  1692690374311040830
3  Leader changing EWMA Map:  map[0:Id: 0, EWMA: 56485773.336345 1:Id: 1, EWMA: 56417489.832537 2:Id: 2, EWMA: 27119380.112481 4:Id: 4, EWMA: 449854.877943]
Commit quorum changed successfully!, time:  1692690374338582608  commit quorum:  [4]
2023-08-22 07:46:15.046067599 +0000 UTC m=+19.805553425 ,  2023-08-22 07:46:15.04784604 +0000 UTC m=+19.807331836 ,  1778351
2023-08-22 07:46:15.077334386 +0000 UTC m=+19.836820212 ,  2023-08-22 07:46:15.079060989 +0000 UTC m=+19.838546785 ,  1726503
2023-08-22 07:46:15.341895587 +0000 UTC m=+20.101381403 ,  2023-08-22 07:46:15.346623356 +0000 UTC m=+20.106109182 ,  4727638
2023-08-22 07:46:15.375953463 +0000 UTC m=+20.135439289 ,  2023-08-22 07:46:15.378441191 +0000 UTC m=+20.137926987 ,  2487618
2023-08-22 07:46:15.640940727 +0000 UTC m=+20.400426543 ,  2023-08-22 07:46:15.647956226 +0000 UTC m=+20.407442022 ,  7015409
2023-08-22 07:46:15.677163862 +0000 UTC m=+20.436649699 ,  2023-08-22 07:46:15.679931808 +0000 UTC m=+20.439417634 ,  2767805
2023-08-22 07:46:15.942475086 +0000 UTC m=+20.701960913 ,  2023-08-22 07:46:15.94844791 +0000 UTC m=+20.707933727 ,  5972683
2023-08-22 07:46:15.977819355 +0000 UTC m=+20.737305181 ,  2023-08-22 07:46:15.979437023 +0000 UTC m=+20.738922829 ,  1617578
2023-08-22 07:46:16.241885694 +0000 UTC m=+21.001371510 ,  2023-08-22 07:46:16.246616358 +0000 UTC m=+21.006102174 ,  4730534
2023-08-22 07:46:16.275762207 +0000 UTC m=+21.035248034 ,  2023-08-22 07:46:16.278732995 +0000 UTC m=+21.038218821 ,  2970647
2023-08-22 07:46:16.541150779 +0000 UTC m=+21.300636605 ,  2023-08-22 07:46:16.54708996 +0000 UTC m=+21.306575766 ,  5939091
2023-08-22 07:46:16.576273199 +0000 UTC m=+21.335759035 ,  2023-08-22 07:46:16.576823566 +0000 UTC m=+21.336309382 ,  550107
