3  listening on:  130.127.134.101:3001
3  sending request vote to the follower  4
3  sending request vote to the follower  0
3  sending request vote to the follower  1
3  sending request vote to the follower  2
Commit quorum changed successfully!, time:  1692655019504322798  commit quorum:  [4]
2023-08-21 21:57:08.212447971 +0000 UTC m=+23.891346452 ,  2023-08-21 21:57:08.214536446 +0000 UTC m=+23.893434887 ,  2088365
2023-08-21 21:57:08.243852782 +0000 UTC m=+23.922751253 ,  2023-08-21 21:57:08.246725975 +0000 UTC m=+23.925624436 ,  2873043
2023-08-21 21:57:08.541556186 +0000 UTC m=+24.220454647 ,  2023-08-21 21:57:08.546521942 +0000 UTC m=+24.225420383 ,  4965666
2023-08-21 21:57:08.57577559 +0000 UTC m=+24.254674071 ,  2023-08-21 21:57:08.578831117 +0000 UTC m=+24.257729588 ,  3055367
2023-08-21 21:57:08.873162097 +0000 UTC m=+24.552060568 ,  2023-08-21 21:57:08.878197074 +0000 UTC m=+24.557095545 ,  5034837
2023-08-21 21:57:08.907428189 +0000 UTC m=+24.586326670 ,  2023-08-21 21:57:08.910300861 +0000 UTC m=+24.589199313 ,  2872562
2023-08-21 21:57:09.204538866 +0000 UTC m=+24.883437337 ,  2023-08-21 21:57:09.209451442 +0000 UTC m=+24.888349883 ,  4912476
2023-08-21 21:57:09.238511125 +0000 UTC m=+24.917409616 ,  2023-08-21 21:57:09.242279545 +0000 UTC m=+24.921178016 ,  3768260
[4]  Meets Latency req:  true  EWMA:  map[0:Id: 0, EWMA: 44771703.061007 1:Id: 1, EWMA: 44669198.271087 2:Id: 2, EWMA: 44763976.884144 4:Id: 4, EWMA: 467168.383643]
2023-08-21 21:57:09.537044002 +0000 UTC m=+25.215942453 ,  2023-08-21 21:57:09.541943884 +0000 UTC m=+25.220842335 ,  4899812
2023-08-21 21:57:09.571139172 +0000 UTC m=+25.250037653 ,  2023-08-21 21:57:09.573939819 +0000 UTC m=+25.252838290 ,  2800507
2023-08-21 21:57:09.868753027 +0000 UTC m=+25.547651488 ,  2023-08-21 21:57:09.872753945 +0000 UTC m=+25.551652386 ,  4000367
2023-08-21 21:57:09.901961095 +0000 UTC m=+25.580859576 ,  2023-08-21 21:57:09.904893019 +0000 UTC m=+25.583791470 ,  2931814
2023-08-21 21:57:10.199324378 +0000 UTC m=+25.878222849 ,  2023-08-21 21:57:10.204219741 +0000 UTC m=+25.883118202 ,  4895223
2023-08-21 21:57:10.233391876 +0000 UTC m=+25.912290367 ,  2023-08-21 21:57:10.236193735 +0000 UTC m=+25.915092206 ,  2801708
2023-08-21 21:57:10.530751581 +0000 UTC m=+26.209650022 ,  2023-08-21 21:57:10.535747224 +0000 UTC m=+26.214645695 ,  4995523
2023-08-21 21:57:10.564899521 +0000 UTC m=+26.243797972 ,  2023-08-21 21:57:10.567757896 +0000 UTC m=+26.246656367 ,  2858265
