3  listening on:  130.127.134.101:3001
3  sending request vote to the follower  4
3  sending request vote to the follower  2
3  sending request vote to the follower  0
3  sending request vote to the follower  1
Commit quorum changed successfully!, time:  1692652717521815742  commit quorum:  [4]
[4]  Meets Latency req:  true  EWMA:  map[0:Id: 0, EWMA: 55023115.578943 1:Id: 1, EWMA: 54942547.531241 2:Id: 2, EWMA: 54987043.625026 4:Id: 4, EWMA: 455312.550935]
2023-08-21 21:18:56.530839479 +0000 UTC m=+34.193018959 ,  2023-08-21 21:18:56.53225756 +0000 UTC m=+34.194437020 ,  1417991
2023-08-21 21:18:56.561771772 +0000 UTC m=+34.223951252 ,  2023-08-21 21:18:56.562457283 +0000 UTC m=+34.224636774 ,  685391
2023-08-21 21:18:56.857618855 +0000 UTC m=+34.519798345 ,  2023-08-21 21:18:56.85908702 +0000 UTC m=+34.521266480 ,  1468075
2023-08-21 21:18:56.888389202 +0000 UTC m=+34.550568692 ,  2023-08-21 21:18:56.889040659 +0000 UTC m=+34.551220149 ,  651317
2023-08-21 21:18:57.184044472 +0000 UTC m=+34.846223962 ,  2023-08-21 21:18:57.184968362 +0000 UTC m=+34.847147862 ,  923740
2023-08-21 21:18:57.214093512 +0000 UTC m=+34.876273022 ,  2023-08-21 21:18:57.214799983 +0000 UTC m=+34.876979473 ,  706321
[4]  Meets Latency req:  true  EWMA:  map[0:Id: 0, EWMA: 35048755.225149 1:Id: 1, EWMA: 35041871.072895 2:Id: 2, EWMA: 35134940.686638 4:Id: 4, EWMA: 483963.823268]
2023-08-21 21:18:57.509309524 +0000 UTC m=+35.171489014 ,  2023-08-21 21:18:57.509998362 +0000 UTC m=+35.172177822 ,  688738
2023-08-21 21:18:57.53917034 +0000 UTC m=+35.201349830 ,  2023-08-21 21:18:57.540021262 +0000 UTC m=+35.202200752 ,  850782
2023-08-21 21:18:57.834362126 +0000 UTC m=+35.496541616 ,  2023-08-21 21:18:57.835067905 +0000 UTC m=+35.497247395 ,  705619
2023-08-21 21:18:57.864231738 +0000 UTC m=+35.526411228 ,  2023-08-21 21:18:57.864930263 +0000 UTC m=+35.527109753 ,  698395
2023-08-21 21:18:58.159840579 +0000 UTC m=+35.822020069 ,  2023-08-21 21:18:58.160597554 +0000 UTC m=+35.822777044 ,  756845
2023-08-21 21:18:58.189679623 +0000 UTC m=+35.851859133 ,  2023-08-21 21:18:58.190291275 +0000 UTC m=+35.852470765 ,  611491
2023-08-21 21:18:58.48517486 +0000 UTC m=+36.147354360 ,  2023-08-21 21:18:58.486210391 +0000 UTC m=+36.148389861 ,  1035411
2023-08-21 21:18:58.515418086 +0000 UTC m=+36.177597576 ,  2023-08-21 21:18:58.516205329 +0000 UTC m=+36.178384819 ,  787103
2023-08-21 21:18:58.810616975 +0000 UTC m=+36.472796465 ,  2023-08-21 21:18:58.811503595 +0000 UTC m=+36.473683055 ,  886520
2023-08-21 21:18:58.840608947 +0000 UTC m=+36.502788447 ,  2023-08-21 21:18:58.841367306 +0000 UTC m=+36.503546796 ,  758198
2023-08-21 21:18:59.135812676 +0000 UTC m=+36.797992156 ,  2023-08-21 21:18:59.136588858 +0000 UTC m=+36.798768358 ,  776042
2023-08-21 21:18:59.16593304 +0000 UTC m=+36.828112530 ,  2023-08-21 21:18:59.166740581 +0000 UTC m=+36.828920081 ,  807401
2023-08-21 21:18:59.461764742 +0000 UTC m=+37.123944222 ,  2023-08-21 21:18:59.462508943 +0000 UTC m=+37.124688433 ,  744051
2023-08-21 21:18:59.491658348 +0000 UTC m=+37.153837838 ,  2023-08-21 21:18:59.492438217 +0000 UTC m=+37.154617717 ,  779709
2023-08-21 21:18:59.787321672 +0000 UTC m=+37.449501152 ,  2023-08-21 21:18:59.7880742 +0000 UTC m=+37.450253700 ,  752368
2023-08-21 21:18:59.817357819 +0000 UTC m=+37.479537319 ,  2023-08-21 21:18:59.818065061 +0000 UTC m=+37.480244561 ,  707081
2023-08-21 21:19:00.112932637 +0000 UTC m=+37.775112127 ,  2023-08-21 21:19:00.113802495 +0000 UTC m=+37.775981995 ,  869708
2023-08-21 21:19:00.143001785 +0000 UTC m=+37.805181275 ,  2023-08-21 21:19:00.143766575 +0000 UTC m=+37.805946065 ,  764630
2023-08-21 21:19:00.43893639 +0000 UTC m=+38.101115880 ,  2023-08-21 21:19:00.439873335 +0000 UTC m=+38.102052825 ,  936785
2023-08-21 21:19:00.469193131 +0000 UTC m=+38.131372631 ,  2023-08-21 21:19:00.469912766 +0000 UTC m=+38.132092256 ,  719465
2023-08-21 21:19:00.764575948 +0000 UTC m=+38.426755428 ,  2023-08-21 21:19:00.765263643 +0000 UTC m=+38.427443113 ,  687244
2023-08-21 21:19:00.794458002 +0000 UTC m=+38.456637502 ,  2023-08-21 21:19:00.795222241 +0000 UTC m=+38.457401721 ,  763718
2023-08-21 21:19:01.09029794 +0000 UTC m=+38.752477430 ,  2023-08-21 21:19:01.093443494 +0000 UTC m=+38.755622954 ,  3145444
2023-08-21 21:19:01.122684151 +0000 UTC m=+38.784863631 ,  2023-08-21 21:19:01.123708952 +0000 UTC m=+38.785888412 ,  1024690
2023-08-21 21:19:01.418615041 +0000 UTC m=+39.080794521 ,  2023-08-21 21:19:01.41970283 +0000 UTC m=+39.081882320 ,  1087669
2023-08-21 21:19:01.448804194 +0000 UTC m=+39.110983715 ,  2023-08-21 21:19:01.449664405 +0000 UTC m=+39.111843895 ,  860039
2023-08-21 21:19:01.743792026 +0000 UTC m=+39.405971506 ,  2023-08-21 21:19:01.744600118 +0000 UTC m=+39.406779609 ,  807922
2023-08-21 21:19:01.773858419 +0000 UTC m=+39.436037929 ,  2023-08-21 21:19:01.774712598 +0000 UTC m=+39.436892098 ,  854009
2023-08-21 21:19:02.069331015 +0000 UTC m=+39.731510505 ,  2023-08-21 21:19:02.070422972 +0000 UTC m=+39.732602472 ,  1091806
2023-08-21 21:19:02.099632721 +0000 UTC m=+39.761812231 ,  2023-08-21 21:19:02.100343269 +0000 UTC m=+39.762522739 ,  710438
2023-08-21 21:19:02.394900651 +0000 UTC m=+40.057080141 ,  2023-08-21 21:19:02.395968021 +0000 UTC m=+40.058147511 ,  1067210
2023-08-21 21:19:02.425142013 +0000 UTC m=+40.087321523 ,  2023-08-21 21:19:02.425911142 +0000 UTC m=+40.088090612 ,  769019
2023-08-21 21:19:02.720740125 +0000 UTC m=+40.382919615 ,  2023-08-21 21:19:02.721534421 +0000 UTC m=+40.383713881 ,  794196
2023-08-21 21:19:02.750812168 +0000 UTC m=+40.412991658 ,  2023-08-21 21:19:02.751590244 +0000 UTC m=+40.413769744 ,  777916
2023-08-21 21:19:03.046425358 +0000 UTC m=+40.708604848 ,  2023-08-21 21:19:03.047327477 +0000 UTC m=+40.709506977 ,  901969
2023-08-21 21:19:03.076448999 +0000 UTC m=+40.738628500 ,  2023-08-21 21:19:03.077226163 +0000 UTC m=+40.739405663 ,  776993
2023-08-21 21:19:03.371780398 +0000 UTC m=+41.033959888 ,  2023-08-21 21:19:03.372771255 +0000 UTC m=+41.034950745 ,  990697
2023-08-21 21:19:03.402035938 +0000 UTC m=+41.064215418 ,  2023-08-21 21:19:03.402867985 +0000 UTC m=+41.065047475 ,  831897
