3  listening on:  130.127.134.101:3001
3  sending request vote to the follower  4
3  sending request vote to the follower  1
3  sending request vote to the follower  2
3  sending request vote to the follower  0
Commit quorum changed successfully!, time:  1692646195341357238  commit quorum:  [4]
2023-08-21 19:30:03.280936578 +0000 UTC m=+23.124240517 ,  2023-08-21 19:30:03.281995603 +0000 UTC m=+23.125299541 ,  1058874
2023-08-21 19:30:03.311294914 +0000 UTC m=+23.154598842 ,  2023-08-21 19:30:03.312214827 +0000 UTC m=+23.155518775 ,  919712
2023-08-21 19:30:03.606990226 +0000 UTC m=+23.450294164 ,  2023-08-21 19:30:03.607643546 +0000 UTC m=+23.450947494 ,  653100
2023-08-21 19:30:03.63692294 +0000 UTC m=+23.480226868 ,  2023-08-21 19:30:03.637956406 +0000 UTC m=+23.481260344 ,  1033266
2023-08-21 19:30:03.932449153 +0000 UTC m=+23.775753081 ,  2023-08-21 19:30:03.933294014 +0000 UTC m=+23.776597952 ,  844661
2023-08-21 19:30:03.962544223 +0000 UTC m=+23.805848151 ,  2023-08-21 19:30:03.963097305 +0000 UTC m=+23.806401243 ,  552912
2023-08-21 19:30:04.25735552 +0000 UTC m=+24.100659458 ,  2023-08-21 19:30:04.258066108 +0000 UTC m=+24.101370056 ,  710388
2023-08-21 19:30:04.287433908 +0000 UTC m=+24.130737846 ,  2023-08-21 19:30:04.288106956 +0000 UTC m=+24.131410874 ,  672938
2023-08-21 19:30:04.582942939 +0000 UTC m=+24.426246898 ,  2023-08-21 19:30:04.583769686 +0000 UTC m=+24.427073625 ,  826486
2023-08-21 19:30:04.612940947 +0000 UTC m=+24.456244895 ,  2023-08-21 19:30:04.613698453 +0000 UTC m=+24.457002361 ,  757396
2023-08-21 19:30:04.908062317 +0000 UTC m=+24.751366255 ,  2023-08-21 19:30:04.908785138 +0000 UTC m=+24.752089086 ,  722641
2023-08-21 19:30:04.938061556 +0000 UTC m=+24.781365505 ,  2023-08-21 19:30:04.938710929 +0000 UTC m=+24.782014868 ,  649182
2023-08-21 19:30:05.233452615 +0000 UTC m=+25.076756543 ,  2023-08-21 19:30:05.234132335 +0000 UTC m=+25.077436253 ,  679620
2023-08-21 19:30:05.263395158 +0000 UTC m=+25.106699096 ,  2023-08-21 19:30:05.264186217 +0000 UTC m=+25.107490156 ,  790879
[4]  Meets Latency req:  true  EWMA:  map[0:Id: 0, EWMA: 37715238.250639 1:Id: 1, EWMA: 37659748.226585 2:Id: 2, EWMA: 37663126.964247 4:Id: 4, EWMA: 490365.869828]
2023-08-21 19:30:05.558680477 +0000 UTC m=+25.401984416 ,  2023-08-21 19:30:05.559262494 +0000 UTC m=+25.402566432 ,  581815
2023-08-21 19:30:05.588291766 +0000 UTC m=+25.431595714 ,  2023-08-21 19:30:05.588928526 +0000 UTC m=+25.432232464 ,  636569
2023-08-21 19:30:05.88326611 +0000 UTC m=+25.726570038 ,  2023-08-21 19:30:05.884051539 +0000 UTC m=+25.727355487 ,  785239
2023-08-21 19:30:05.913187743 +0000 UTC m=+25.756491691 ,  2023-08-21 19:30:05.913848918 +0000 UTC m=+25.757152836 ,  661045
2023-08-21 19:30:06.208101934 +0000 UTC m=+26.051405872 ,  2023-08-21 19:30:06.208783618 +0000 UTC m=+26.052087586 ,  681484
2023-08-21 19:30:06.237935762 +0000 UTC m=+26.081239700 ,  2023-08-21 19:30:06.23892232 +0000 UTC m=+26.082226258 ,  986388
2023-08-21 19:30:06.533389018 +0000 UTC m=+26.376692956 ,  2023-08-21 19:30:06.534086191 +0000 UTC m=+26.377390139 ,  696972
2023-08-21 19:30:06.563185285 +0000 UTC m=+26.406489193 ,  2023-08-21 19:30:06.563569308 +0000 UTC m=+26.406873216 ,  383953
2023-08-21 19:30:06.858268103 +0000 UTC m=+26.701572041 ,  2023-08-21 19:30:06.859046869 +0000 UTC m=+26.702350817 ,  778556
2023-08-21 19:30:06.888216206 +0000 UTC m=+26.731520145 ,  2023-08-21 19:30:06.888848277 +0000 UTC m=+26.732152225 ,  631860
2023-08-21 19:30:07.183334521 +0000 UTC m=+27.026638459 ,  2023-08-21 19:30:07.184037074 +0000 UTC m=+27.027341032 ,  702363
2023-08-21 19:30:07.214714411 +0000 UTC m=+27.058018349 ,  2023-08-21 19:30:07.215421783 +0000 UTC m=+27.058725731 ,  707032
2023-08-21 19:30:07.511322221 +0000 UTC m=+27.354626159 ,  2023-08-21 19:30:07.512379051 +0000 UTC m=+27.355682969 ,  1056720
2023-08-21 19:30:07.541401952 +0000 UTC m=+27.384705890 ,  2023-08-21 19:30:07.542075771 +0000 UTC m=+27.385379689 ,  673699
2023-08-21 19:30:07.836491263 +0000 UTC m=+27.679795201 ,  2023-08-21 19:30:07.837127801 +0000 UTC m=+27.680431739 ,  636388
2023-08-21 19:30:07.866210545 +0000 UTC m=+27.709514483 ,  2023-08-21 19:30:07.867014739 +0000 UTC m=+27.710318707 ,  803994
2023-08-21 19:30:08.161602505 +0000 UTC m=+28.004906443 ,  2023-08-21 19:30:08.162426397 +0000 UTC m=+28.005730355 ,  823681
2023-08-21 19:30:08.191756285 +0000 UTC m=+28.035060213 ,  2023-08-21 19:30:08.192452727 +0000 UTC m=+28.035756675 ,  696252
2023-08-21 19:30:08.489445773 +0000 UTC m=+28.332749681 ,  2023-08-21 19:30:08.490644641 +0000 UTC m=+28.333948549 ,  1198788
2023-08-21 19:30:08.519819869 +0000 UTC m=+28.363123807 ,  2023-08-21 19:30:08.520931442 +0000 UTC m=+28.364235350 ,  1111453
2023-08-21 19:30:08.815951522 +0000 UTC m=+28.659255450 ,  2023-08-21 19:30:08.816658734 +0000 UTC m=+28.659962652 ,  707112
2023-08-21 19:30:08.845713204 +0000 UTC m=+28.689017142 ,  2023-08-21 19:30:08.846365011 +0000 UTC m=+28.689668950 ,  651627
2023-08-21 19:30:09.141418485 +0000 UTC m=+28.984722423 ,  2023-08-21 19:30:09.14200537 +0000 UTC m=+28.985309288 ,  586765
2023-08-21 19:30:09.171099856 +0000 UTC m=+29.014403804 ,  2023-08-21 19:30:09.171843186 +0000 UTC m=+29.015147124 ,  743129
2023-08-21 19:30:09.466387529 +0000 UTC m=+29.309691467 ,  2023-08-21 19:30:09.46713679 +0000 UTC m=+29.310440728 ,  749041
2023-08-21 19:30:09.496243689 +0000 UTC m=+29.339547627 ,  2023-08-21 19:30:09.496909403 +0000 UTC m=+29.340213351 ,  665504
2023-08-21 19:30:09.791527286 +0000 UTC m=+29.634831214 ,  2023-08-21 19:30:09.792450976 +0000 UTC m=+29.635754914 ,  923530
