3  listening on:  130.127.134.101:3001
3  sending request vote to the follower  4
3  sending request vote to the follower  2
3  sending request vote to the follower  1
3  sending request vote to the follower  0
Commit quorum changed successfully!, time:  1692651482781482625  commit quorum:  [4]
2023-08-21 20:58:09.606817966 +0000 UTC m=+22.009246081 ,  2023-08-21 20:58:09.608500775 +0000 UTC m=+22.010928860 ,  1682709
2023-08-21 20:58:09.638054884 +0000 UTC m=+22.040482999 ,  2023-08-21 20:58:09.63879067 +0000 UTC m=+22.041218785 ,  735626
2023-08-21 20:58:09.933338029 +0000 UTC m=+22.335766145 ,  2023-08-21 20:58:09.934524003 +0000 UTC m=+22.336952128 ,  1185803
2023-08-21 20:58:09.963972002 +0000 UTC m=+22.366400117 ,  2023-08-21 20:58:09.964851689 +0000 UTC m=+22.367279814 ,  879527
2023-08-21 20:58:10.259394329 +0000 UTC m=+22.661822444 ,  2023-08-21 20:58:10.260736216 +0000 UTC m=+22.663164321 ,  1341747
2023-08-21 20:58:10.290095399 +0000 UTC m=+22.692523524 ,  2023-08-21 20:58:10.290773366 +0000 UTC m=+22.693201451 ,  677857
2023-08-21 20:58:10.585076455 +0000 UTC m=+22.987504570 ,  2023-08-21 20:58:10.585812912 +0000 UTC m=+22.988240997 ,  736357
2023-08-21 20:58:10.614893489 +0000 UTC m=+23.017321605 ,  2023-08-21 20:58:10.615600501 +0000 UTC m=+23.018028626 ,  706851
2023-08-21 20:58:10.910368405 +0000 UTC m=+23.312796510 ,  2023-08-21 20:58:10.911238363 +0000 UTC m=+23.313666489 ,  869818
2023-08-21 20:58:10.940537482 +0000 UTC m=+23.342965597 ,  2023-08-21 20:58:10.941439962 +0000 UTC m=+23.343868087 ,  902320
2023-08-21 20:58:11.235852256 +0000 UTC m=+23.638280371 ,  2023-08-21 20:58:11.236616716 +0000 UTC m=+23.639044821 ,  764009
2023-08-21 20:58:11.265715088 +0000 UTC m=+23.668143183 ,  2023-08-21 20:58:11.266578904 +0000 UTC m=+23.669007020 ,  863706
2023-08-21 20:58:11.559909462 +0000 UTC m=+23.962337577 ,  2023-08-21 20:58:11.560725468 +0000 UTC m=+23.963153564 ,  815906
2023-08-21 20:58:11.589872822 +0000 UTC m=+23.992300927 ,  2023-08-21 20:58:11.590623495 +0000 UTC m=+23.993051620 ,  750533
2023-08-21 20:58:11.884934198 +0000 UTC m=+24.287362314 ,  2023-08-21 20:58:11.88569944 +0000 UTC m=+24.288127545 ,  765100
2023-08-21 20:58:11.914875587 +0000 UTC m=+24.317303702 ,  2023-08-21 20:58:11.915704859 +0000 UTC m=+24.318132984 ,  829122
2023-08-21 20:58:12.210620912 +0000 UTC m=+24.613049027 ,  2023-08-21 20:58:12.211476263 +0000 UTC m=+24.613904368 ,  855211
2023-08-21 20:58:12.240621422 +0000 UTC m=+24.643049548 ,  2023-08-21 20:58:12.24141641 +0000 UTC m=+24.643844525 ,  794836
2023-08-21 20:58:12.536105036 +0000 UTC m=+24.938533151 ,  2023-08-21 20:58:12.536849989 +0000 UTC m=+24.939278104 ,  744813
2023-08-21 20:58:12.565983155 +0000 UTC m=+24.968411270 ,  2023-08-21 20:58:12.566939105 +0000 UTC m=+24.969367221 ,  955500
[4]  Meets Latency req:  true  EWMA:  map[0:Id: 0, EWMA: 40415376.871818 1:Id: 1, EWMA: 40383081.564978 2:Id: 2, EWMA: 40428768.678630 4:Id: 4, EWMA: 475223.802549]
2023-08-21 20:58:12.861455055 +0000 UTC m=+25.263883171 ,  2023-08-21 20:58:12.86219543 +0000 UTC m=+25.264623535 ,  740264
2023-08-21 20:58:12.891249687 +0000 UTC m=+25.293677802 ,  2023-08-21 20:58:12.892174198 +0000 UTC m=+25.294602323 ,  924361
2023-08-21 20:58:13.186776882 +0000 UTC m=+25.589204987 ,  2023-08-21 20:58:13.187526494 +0000 UTC m=+25.589954619 ,  749471
2023-08-21 20:58:13.216687993 +0000 UTC m=+25.619116108 ,  2023-08-21 20:58:13.217439979 +0000 UTC m=+25.619868074 ,  751886
2023-08-21 20:58:13.511824854 +0000 UTC m=+25.914252979 ,  2023-08-21 20:58:13.51283192 +0000 UTC m=+25.915260005 ,  1006956
2023-08-21 20:58:13.541857263 +0000 UTC m=+25.944285358 ,  2023-08-21 20:58:13.542490456 +0000 UTC m=+25.944918571 ,  633073
2023-08-21 20:58:13.836917528 +0000 UTC m=+26.239345643 ,  2023-08-21 20:58:13.837878658 +0000 UTC m=+26.240306783 ,  960950
2023-08-21 20:58:13.866896539 +0000 UTC m=+26.269324644 ,  2023-08-21 20:58:13.867663844 +0000 UTC m=+26.270091969 ,  767155
2023-08-21 20:58:14.162459952 +0000 UTC m=+26.564888067 ,  2023-08-21 20:58:14.16330287 +0000 UTC m=+26.565730995 ,  842758
2023-08-21 20:58:14.192565089 +0000 UTC m=+26.594993204 ,  2023-08-21 20:58:14.193349286 +0000 UTC m=+26.595777401 ,  784047
2023-08-21 20:58:14.487700945 +0000 UTC m=+26.890129060 ,  2023-08-21 20:58:14.488683225 +0000 UTC m=+26.891111340 ,  982139
2023-08-21 20:58:14.517775766 +0000 UTC m=+26.920203871 ,  2023-08-21 20:58:14.518789605 +0000 UTC m=+26.921217690 ,  1013759
2023-08-21 20:58:14.81272887 +0000 UTC m=+27.215156955 ,  2023-08-21 20:58:14.813388533 +0000 UTC m=+27.215816628 ,  659603
2023-08-21 20:58:14.842759747 +0000 UTC m=+27.245187862 ,  2023-08-21 20:58:14.845565 +0000 UTC m=+27.247993085 ,  2805073
2023-08-21 20:58:15.140104286 +0000 UTC m=+27.542532401 ,  2023-08-21 20:58:15.140909772 +0000 UTC m=+27.543337888 ,  805356
2023-08-21 20:58:15.170131244 +0000 UTC m=+27.572559369 ,  2023-08-21 20:58:15.170873192 +0000 UTC m=+27.573301307 ,  741807
2023-08-21 20:58:15.465151234 +0000 UTC m=+27.867579349 ,  2023-08-21 20:58:15.46600938 +0000 UTC m=+27.868437475 ,  858056
2023-08-21 20:58:15.49509671 +0000 UTC m=+27.897524825 ,  2023-08-21 20:58:15.495833016 +0000 UTC m=+27.898261142 ,  736156
2023-08-21 20:58:15.790314151 +0000 UTC m=+28.192742256 ,  2023-08-21 20:58:15.791257908 +0000 UTC m=+28.193686013 ,  943627
2023-08-21 20:58:15.820610368 +0000 UTC m=+28.223038483 ,  2023-08-21 20:58:15.821416526 +0000 UTC m=+28.223844651 ,  805998
2023-08-21 20:58:16.115998621 +0000 UTC m=+28.518426726 ,  2023-08-21 20:58:16.116823024 +0000 UTC m=+28.519251139 ,  824273
2023-08-21 20:58:16.146007456 +0000 UTC m=+28.548435572 ,  2023-08-21 20:58:16.146868729 +0000 UTC m=+28.549296834 ,  861121
2023-08-21 20:58:16.44142759 +0000 UTC m=+28.843855715 ,  2023-08-21 20:58:16.442366108 +0000 UTC m=+28.844794203 ,  938418
2023-08-21 20:58:16.471513501 +0000 UTC m=+28.873941606 ,  2023-08-21 20:58:16.472281999 +0000 UTC m=+28.874710114 ,  768377
2023-08-21 20:58:16.7668479 +0000 UTC m=+29.169276016 ,  2023-08-21 20:58:16.767632668 +0000 UTC m=+29.170060763 ,  784677
2023-08-21 20:58:16.796932909 +0000 UTC m=+29.199361024 ,  2023-08-21 20:58:16.797879492 +0000 UTC m=+29.200307597 ,  946443
2023-08-21 20:58:17.092267812 +0000 UTC m=+29.494695927 ,  2023-08-21 20:58:17.093088848 +0000 UTC m=+29.495516973 ,  820566
2023-08-21 20:58:17.122275435 +0000 UTC m=+29.524703550 ,  2023-08-21 20:58:17.123050946 +0000 UTC m=+29.525479061 ,  775351
2023-08-21 20:58:17.417793043 +0000 UTC m=+29.820221158 ,  2023-08-21 20:58:17.418688279 +0000 UTC m=+29.821116394 ,  895085
2023-08-21 20:58:17.447848606 +0000 UTC m=+29.850276711 ,  2023-08-21 20:58:17.44883842 +0000 UTC m=+29.851266545 ,  989664
2023-08-21 20:58:17.743420013 +0000 UTC m=+30.145848118 ,  2023-08-21 20:58:17.744428092 +0000 UTC m=+30.146856187 ,  1007628
2023-08-21 20:58:17.773500664 +0000 UTC m=+30.175928759 ,  2023-08-21 20:58:17.774345235 +0000 UTC m=+30.176773320 ,  844490
2023-08-21 20:58:18.068769653 +0000 UTC m=+30.471197768 ,  2023-08-21 20:58:18.069665891 +0000 UTC m=+30.472094006 ,  896108
2023-08-21 20:58:18.098780693 +0000 UTC m=+30.501208798 ,  2023-08-21 20:58:18.100368974 +0000 UTC m=+30.502797069 ,  1588191
2023-08-21 20:58:18.395128864 +0000 UTC m=+30.797556979 ,  2023-08-21 20:58:18.398700651 +0000 UTC m=+30.801128756 ,  3571636
2023-08-21 20:58:18.427892618 +0000 UTC m=+30.830320733 ,  2023-08-21 20:58:18.428930492 +0000 UTC m=+30.831358607 ,  1037734
