3  listening on:  130.127.134.101:3001
3  sending request vote to the follower  4
3  sending request vote to the follower  0
3  sending request vote to the follower  1
3  sending request vote to the follower  2
3  sending request vote to the follower  1
3  sending request vote to the follower  0
3  sending request vote to the follower  2
3  sending request vote to the follower  4
3  sending request vote to the follower  4
3  sending request vote to the follower  1
3  sending request vote to the follower  2
3  sending request vote to the follower  0
Commit quorum changed successfully!, time:  1692650553356975829  commit quorum:  [4]
[4]  Meets Latency req:  true  EWMA:  map[0:Id: 0, EWMA: 55048811.140964 1:Id: 1, EWMA: 54979479.112685 2:Id: 2, EWMA: 55085108.985203 4:Id: 4, EWMA: 454635.638721]
[4]  Meets Latency req:  true  EWMA:  map[0:Id: 0, EWMA: 55048300.585304 1:Id: 1, EWMA: 54966862.272715 2:Id: 2, EWMA: 55055441.271985 4:Id: 4, EWMA: 440692.305564]
2023-08-21 20:42:48.687509216 +0000 UTC m=+32.615097956 ,  2023-08-21 20:42:48.688983583 +0000 UTC m=+32.616572302 ,  1474276
2023-08-21 20:42:48.718226104 +0000 UTC m=+32.645814833 ,  2023-08-21 20:42:48.71914253 +0000 UTC m=+32.646731259 ,  916296
2023-08-21 20:42:49.013935193 +0000 UTC m=+32.941523932 ,  2023-08-21 20:42:49.015375825 +0000 UTC m=+32.942964535 ,  1440522
2023-08-21 20:42:49.044530481 +0000 UTC m=+32.972119221 ,  2023-08-21 20:42:49.045433853 +0000 UTC m=+32.973022562 ,  903261
2023-08-21 20:42:49.340036147 +0000 UTC m=+33.267624886 ,  2023-08-21 20:42:49.340889433 +0000 UTC m=+33.268478143 ,  853196
2023-08-21 20:42:49.370035333 +0000 UTC m=+33.297624072 ,  2023-08-21 20:42:49.370731854 +0000 UTC m=+33.298320584 ,  696361
2023-08-21 20:42:49.665601191 +0000 UTC m=+33.593189920 ,  2023-08-21 20:42:49.666330645 +0000 UTC m=+33.593919354 ,  729374
2023-08-21 20:42:49.695462598 +0000 UTC m=+33.623051307 ,  2023-08-21 20:42:49.696087044 +0000 UTC m=+33.623675783 ,  624326
2023-08-21 20:42:49.990769678 +0000 UTC m=+33.918358417 ,  2023-08-21 20:42:49.99146119 +0000 UTC m=+33.919049930 ,  691362
2023-08-21 20:42:50.020635964 +0000 UTC m=+33.948224714 ,  2023-08-21 20:42:50.021527884 +0000 UTC m=+33.949116603 ,  891819
2023-08-21 20:42:50.316312061 +0000 UTC m=+34.243900800 ,  2023-08-21 20:42:50.317092611 +0000 UTC m=+34.244681350 ,  780410
2023-08-21 20:42:50.346507376 +0000 UTC m=+34.274096115 ,  2023-08-21 20:42:50.347434001 +0000 UTC m=+34.275022740 ,  926485
2023-08-21 20:42:50.641386362 +0000 UTC m=+34.568975101 ,  2023-08-21 20:42:50.64213421 +0000 UTC m=+34.569722929 ,  747758
2023-08-21 20:42:50.671289065 +0000 UTC m=+34.598877804 ,  2023-08-21 20:42:50.672785063 +0000 UTC m=+34.600373772 ,  1495898
2023-08-21 20:42:50.967795805 +0000 UTC m=+34.895384534 ,  2023-08-21 20:42:50.969315637 +0000 UTC m=+34.896904356 ,  1519752
2023-08-21 20:42:50.998530988 +0000 UTC m=+34.926119727 ,  2023-08-21 20:42:50.999327407 +0000 UTC m=+34.926916146 ,  796279
2023-08-21 20:42:51.294642092 +0000 UTC m=+35.222230831 ,  2023-08-21 20:42:51.295476904 +0000 UTC m=+35.223065613 ,  834702
2023-08-21 20:42:51.324596765 +0000 UTC m=+35.252185494 ,  2023-08-21 20:42:51.32530568 +0000 UTC m=+35.252894419 ,  708654
2023-08-21 20:42:51.620033139 +0000 UTC m=+35.547621868 ,  2023-08-21 20:42:51.620836652 +0000 UTC m=+35.548425401 ,  803373
2023-08-21 20:42:51.650126713 +0000 UTC m=+35.577715442 ,  2023-08-21 20:42:51.650941438 +0000 UTC m=+35.578530187 ,  814584
2023-08-21 20:42:51.945308699 +0000 UTC m=+35.872897438 ,  2023-08-21 20:42:51.946463224 +0000 UTC m=+35.874051973 ,  1154334
2023-08-21 20:42:51.975706726 +0000 UTC m=+35.903295465 ,  2023-08-21 20:42:51.976518455 +0000 UTC m=+35.904107204 ,  811579
[4]  Meets Latency req:  true  EWMA:  map[0:Id: 0, EWMA: 34515196.234274 1:Id: 1, EWMA: 34428867.397989 2:Id: 2, EWMA: 34511647.644909 4:Id: 4, EWMA: 487275.654061]
2023-08-21 20:42:52.271070675 +0000 UTC m=+36.198659404 ,  2023-08-21 20:42:52.271903834 +0000 UTC m=+36.199492583 ,  833019
2023-08-21 20:42:52.301114446 +0000 UTC m=+36.228703185 ,  2023-08-21 20:42:52.301920845 +0000 UTC m=+36.229509574 ,  806259
2023-08-21 20:42:52.596632645 +0000 UTC m=+36.524221394 ,  2023-08-21 20:42:52.597420118 +0000 UTC m=+36.525008857 ,  787333
2023-08-21 20:42:52.626605973 +0000 UTC m=+36.554194702 ,  2023-08-21 20:42:52.627365403 +0000 UTC m=+36.554954142 ,  759280
2023-08-21 20:42:52.922306897 +0000 UTC m=+36.849895626 ,  2023-08-21 20:42:52.923117193 +0000 UTC m=+36.850705942 ,  810156
2023-08-21 20:42:52.95221998 +0000 UTC m=+36.879808720 ,  2023-08-21 20:42:52.95320707 +0000 UTC m=+36.880795819 ,  986938
2023-08-21 20:42:53.247347473 +0000 UTC m=+37.174936213 ,  2023-08-21 20:42:53.248632764 +0000 UTC m=+37.176221473 ,  1285190
2023-08-21 20:42:53.277903318 +0000 UTC m=+37.205492057 ,  2023-08-21 20:42:53.278641749 +0000 UTC m=+37.206230478 ,  738290
[4]  Meets Latency req:  true  EWMA:  map[0:Id: 0, EWMA: 38542062.325798 1:Id: 1, EWMA: 38482491.106256 2:Id: 2, EWMA: 38555580.953257 4:Id: 4, EWMA: 570172.729514]
2023-08-21 20:42:53.57306706 +0000 UTC m=+37.500655789 ,  2023-08-21 20:42:53.573982174 +0000 UTC m=+37.501570903 ,  915013
2023-08-21 20:42:53.603134815 +0000 UTC m=+37.530723545 ,  2023-08-21 20:42:53.604238053 +0000 UTC m=+37.531826782 ,  1103107
2023-08-21 20:42:53.898707826 +0000 UTC m=+37.826296555 ,  2023-08-21 20:42:53.902323806 +0000 UTC m=+37.829912525 ,  3615890
2023-08-21 20:42:53.931827209 +0000 UTC m=+37.859415948 ,  2023-08-21 20:42:53.932740339 +0000 UTC m=+37.860329078 ,  912990
2023-08-21 20:42:54.227355375 +0000 UTC m=+38.154944125 ,  2023-08-21 20:42:54.228500232 +0000 UTC m=+38.156088971 ,  1144685
2023-08-21 20:42:54.257685346 +0000 UTC m=+38.185274095 ,  2023-08-21 20:42:54.258538052 +0000 UTC m=+38.186126791 ,  852556
2023-08-21 20:42:54.553225274 +0000 UTC m=+38.480814013 ,  2023-08-21 20:42:54.554086346 +0000 UTC m=+38.481675055 ,  860962
2023-08-21 20:42:54.583314461 +0000 UTC m=+38.510903200 ,  2023-08-21 20:42:54.584082397 +0000 UTC m=+38.511671136 ,  767796
2023-08-21 20:42:54.878867945 +0000 UTC m=+38.806456684 ,  2023-08-21 20:42:54.879913003 +0000 UTC m=+38.807501742 ,  1044898
2023-08-21 20:42:54.909151887 +0000 UTC m=+38.836740626 ,  2023-08-21 20:42:54.909921256 +0000 UTC m=+38.837510005 ,  769209
2023-08-21 20:42:55.205120755 +0000 UTC m=+39.132709495 ,  2023-08-21 20:42:55.206081344 +0000 UTC m=+39.133670083 ,  960448
2023-08-21 20:42:55.235400089 +0000 UTC m=+39.162988838 ,  2023-08-21 20:42:55.236485874 +0000 UTC m=+39.164074613 ,  1085635
2023-08-21 20:42:55.531711771 +0000 UTC m=+39.459300480 ,  2023-08-21 20:42:55.532302494 +0000 UTC m=+39.459891213 ,  590643
2023-08-21 20:42:55.56143592 +0000 UTC m=+39.489024629 ,  2023-08-21 20:42:55.562044786 +0000 UTC m=+39.489633525 ,  608756
2023-08-21 20:42:55.856995526 +0000 UTC m=+39.784584275 ,  2023-08-21 20:42:55.85779925 +0000 UTC m=+39.785387969 ,  803624
2023-08-21 20:42:55.887134305 +0000 UTC m=+39.814723045 ,  2023-08-21 20:42:55.88860206 +0000 UTC m=+39.816190769 ,  1467653
2023-08-21 20:42:56.183181211 +0000 UTC m=+40.110769950 ,  2023-08-21 20:42:56.183942846 +0000 UTC m=+40.111531585 ,  761495
2023-08-21 20:42:56.213080368 +0000 UTC m=+40.140669077 ,  2023-08-21 20:42:56.213717478 +0000 UTC m=+40.141306197 ,  637050
2023-08-21 20:42:56.508372191 +0000 UTC m=+40.435960920 ,  2023-08-21 20:42:56.509223323 +0000 UTC m=+40.436812063 ,  851002
2023-08-21 20:42:56.538485572 +0000 UTC m=+40.466074301 ,  2023-08-21 20:42:56.53952027 +0000 UTC m=+40.467109000 ,  1034568
2023-08-21 20:42:56.834738285 +0000 UTC m=+40.762327014 ,  2023-08-21 20:42:56.837938551 +0000 UTC m=+40.765527291 ,  3200136
2023-08-21 20:42:56.867093577 +0000 UTC m=+40.794682286 ,  2023-08-21 20:42:56.867897541 +0000 UTC m=+40.795486281 ,  803854
2023-08-21 20:42:57.163006519 +0000 UTC m=+41.090595258 ,  2023-08-21 20:42:57.163990011 +0000 UTC m=+41.091578760 ,  983322
2023-08-21 20:42:57.193204599 +0000 UTC m=+41.120793338 ,  2023-08-21 20:42:57.195245903 +0000 UTC m=+41.122834612 ,  2041214
2023-08-21 20:42:57.489861352 +0000 UTC m=+41.417450091 ,  2023-08-21 20:42:57.490749565 +0000 UTC m=+41.418338304 ,  888073
2023-08-21 20:42:57.519982298 +0000 UTC m=+41.447571037 ,  2023-08-21 20:42:57.520950622 +0000 UTC m=+41.448539371 ,  968173
2023-08-21 20:42:57.815843052 +0000 UTC m=+41.743431791 ,  2023-08-21 20:42:57.817018565 +0000 UTC m=+41.744607274 ,  1175423
2023-08-21 20:42:57.846178641 +0000 UTC m=+41.773767380 ,  2023-08-21 20:42:57.84708602 +0000 UTC m=+41.774674759 ,  907219
2023-08-21 20:42:58.141758806 +0000 UTC m=+42.069347535 ,  2023-08-21 20:42:58.142789387 +0000 UTC m=+42.070378126 ,  1030451
2023-08-21 20:42:58.171995951 +0000 UTC m=+42.099584690 ,  2023-08-21 20:42:58.173017224 +0000 UTC m=+42.100605963 ,  1021113
2023-08-21 20:42:58.467880059 +0000 UTC m=+42.395468798 ,  2023-08-21 20:42:58.468797577 +0000 UTC m=+42.396386316 ,  917358
2023-08-21 20:42:58.498005483 +0000 UTC m=+42.425594222 ,  2023-08-21 20:42:58.499242342 +0000 UTC m=+42.426831061 ,  1236759
2023-08-21 20:42:58.794046434 +0000 UTC m=+42.721635173 ,  2023-08-21 20:42:58.79494148 +0000 UTC m=+42.722530189 ,  894946
2023-08-21 20:42:58.824134718 +0000 UTC m=+42.751723468 ,  2023-08-21 20:42:58.82511246 +0000 UTC m=+42.752701189 ,  977591
2023-08-21 20:42:59.11973947 +0000 UTC m=+43.047328189 ,  2023-08-21 20:42:59.12050938 +0000 UTC m=+43.048098119 ,  769700
2023-08-21 20:42:59.14977209 +0000 UTC m=+43.077360829 ,  2023-08-21 20:42:59.151814216 +0000 UTC m=+43.079402925 ,  2042036
2023-08-21 20:42:59.446274753 +0000 UTC m=+43.373863492 ,  2023-08-21 20:42:59.447695559 +0000 UTC m=+43.375284308 ,  1420646
2023-08-21 20:42:59.476902382 +0000 UTC m=+43.404491112 ,  2023-08-21 20:42:59.477812476 +0000 UTC m=+43.405401186 ,  910003
2023-08-21 20:42:59.772556417 +0000 UTC m=+43.700145157 ,  2023-08-21 20:42:59.773490026 +0000 UTC m=+43.701078735 ,  933518
2023-08-21 20:42:59.802633691 +0000 UTC m=+43.730222430 ,  2023-08-21 20:42:59.803586215 +0000 UTC m=+43.731174954 ,  952393
2023-08-21 20:43:00.097921555 +0000 UTC m=+44.025510294 ,  2023-08-21 20:43:00.098830647 +0000 UTC m=+44.026419386 ,  908831
2023-08-21 20:43:00.127959274 +0000 UTC m=+44.055548013 ,  2023-08-21 20:43:00.128933488 +0000 UTC m=+44.056522228 ,  974064
2023-08-21 20:43:00.425885918 +0000 UTC m=+44.353474657 ,  2023-08-21 20:43:00.426843721 +0000 UTC m=+44.354432461 ,  957663
2023-08-21 20:43:00.455965325 +0000 UTC m=+44.383554034 ,  2023-08-21 20:43:00.456709807 +0000 UTC m=+44.384298516 ,  744422
2023-08-21 20:43:00.751175705 +0000 UTC m=+44.678764444 ,  2023-08-21 20:43:00.752791699 +0000 UTC m=+44.680380418 ,  1615893
2023-08-21 20:43:00.781766594 +0000 UTC m=+44.709355343 ,  2023-08-21 20:43:00.782722514 +0000 UTC m=+44.710311253 ,  955780
2023-08-21 20:43:01.077594437 +0000 UTC m=+45.005183176 ,  2023-08-21 20:43:01.078725216 +0000 UTC m=+45.006313965 ,  1130609
