3  listening on:  130.127.134.101:3001
3  sending request vote to the follower  4
3  sending request vote to the follower  2
3  sending request vote to the follower  1
3  sending request vote to the follower  0
Commit quorum changed successfully!, time:  1692685233004210587  commit quorum:  [4]
2023-08-22 06:20:37.565037144 +0000 UTC m=+19.743442057 ,  2023-08-22 06:20:37.656270582 +0000 UTC m=+19.834675495 ,  91233328
2023-08-22 06:20:37.685536005 +0000 UTC m=+19.863940908 ,  2023-08-22 06:20:37.761762176 +0000 UTC m=+19.940167069 ,  76226091
2023-08-22 06:20:38.023735796 +0000 UTC m=+20.202140709 ,  2023-08-22 06:20:38.114590811 +0000 UTC m=+20.292995704 ,  90854935
2023-08-22 06:20:38.143756956 +0000 UTC m=+20.322161859 ,  2023-08-22 06:20:38.240182642 +0000 UTC m=+20.418587555 ,  96425585
2023-08-22 06:20:38.502519887 +0000 UTC m=+20.680924810 ,  2023-08-22 06:20:38.595205062 +0000 UTC m=+20.773609965 ,  92685095
2023-08-22 06:20:38.624530538 +0000 UTC m=+20.802935451 ,  2023-08-22 06:20:38.719844147 +0000 UTC m=+20.898249050 ,  95313509
2023-08-22 06:20:38.982931787 +0000 UTC m=+21.161336680 ,  2023-08-22 06:20:39.072765156 +0000 UTC m=+21.251170049 ,  89833309
2023-08-22 06:20:39.101889092 +0000 UTC m=+21.280294006 ,  2023-08-22 06:20:39.197388963 +0000 UTC m=+21.375793856 ,  95499789
2023-08-22 06:20:39.459906788 +0000 UTC m=+21.638311711 ,  2023-08-22 06:20:39.516096261 +0000 UTC m=+21.694501154 ,  56189373
2023-08-22 06:20:39.545225016 +0000 UTC m=+21.723629939 ,  2023-08-22 06:20:39.633117537 +0000 UTC m=+21.811522430 ,  87892431
2023-08-22 06:20:39.895858323 +0000 UTC m=+22.074263246 ,  2023-08-22 06:20:39.986977856 +0000 UTC m=+22.165382749 ,  91119443
2023-08-22 06:20:40.01596774 +0000 UTC m=+22.194372643 ,  2023-08-22 06:20:40.112320287 +0000 UTC m=+22.290725190 ,  96352457
2023-08-22 06:20:40.375213631 +0000 UTC m=+22.553618554 ,  2023-08-22 06:20:40.465293855 +0000 UTC m=+22.643698768 ,  90080094
2023-08-22 06:20:40.494354993 +0000 UTC m=+22.672759896 ,  2023-08-22 06:20:40.591280149 +0000 UTC m=+22.769685043 ,  96925096
2023-08-22 06:20:40.854160258 +0000 UTC m=+23.032565171 ,  2023-08-22 06:20:40.944497377 +0000 UTC m=+23.122902310 ,  90336949
2023-08-22 06:20:40.973747081 +0000 UTC m=+23.152151974 ,  2023-08-22 06:20:41.071339525 +0000 UTC m=+23.249744418 ,  97592394
2023-08-22 06:20:41.333795936 +0000 UTC m=+23.512200859 ,  2023-08-22 06:20:41.423628354 +0000 UTC m=+23.602033257 ,  89832307
2023-08-22 06:20:41.45278918 +0000 UTC m=+23.631194073 ,  2023-08-22 06:20:41.521349581 +0000 UTC m=+23.699754494 ,  68560221
2023-08-22 06:20:41.784238536 +0000 UTC m=+23.962643449 ,  2023-08-22 06:20:41.880268626 +0000 UTC m=+24.058673529 ,  96029989
2023-08-22 06:20:41.909426837 +0000 UTC m=+24.087831730 ,  2023-08-22 06:20:42.00641949 +0000 UTC m=+24.184824404 ,  96992563
2023-08-22 06:20:42.269242702 +0000 UTC m=+24.447647595 ,  2023-08-22 06:20:42.359222657 +0000 UTC m=+24.537627570 ,  89979875
2023-08-22 06:20:42.388313221 +0000 UTC m=+24.566718124 ,  2023-08-22 06:20:42.484317421 +0000 UTC m=+24.662722314 ,  96004120
2023-08-22 06:20:42.746937708 +0000 UTC m=+24.925342621 ,  2023-08-22 06:20:42.838704091 +0000 UTC m=+25.017108994 ,  91766313
2023-08-22 06:20:42.86788251 +0000 UTC m=+25.046287423 ,  2023-08-22 06:20:42.962805422 +0000 UTC m=+25.141210315 ,  94922842
2023-08-22 06:20:43.225185539 +0000 UTC m=+25.403590432 ,  2023-08-22 06:20:43.314845111 +0000 UTC m=+25.493250024 ,  89659502
2023-08-22 06:20:43.343935514 +0000 UTC m=+25.522340427 ,  2023-08-22 06:20:43.440509669 +0000 UTC m=+25.618914582 ,  96574055
2023-08-22 06:20:43.703657503 +0000 UTC m=+25.882062426 ,  2023-08-22 06:20:43.77754301 +0000 UTC m=+25.955947903 ,  73885407
2023-08-22 06:20:43.806772716 +0000 UTC m=+25.985177630 ,  2023-08-22 06:20:43.898634318 +0000 UTC m=+26.077039231 ,  91861501
2023-08-22 06:20:44.16157433 +0000 UTC m=+26.339979264 ,  2023-08-22 06:20:44.259982632 +0000 UTC m=+26.438387546 ,  98408141
2023-08-22 06:20:44.289067936 +0000 UTC m=+26.467472839 ,  2023-08-22 06:20:44.38516414 +0000 UTC m=+26.563569043 ,  96096134
2023-08-22 06:20:44.648526569 +0000 UTC m=+26.826931492 ,  2023-08-22 06:20:44.73769291 +0000 UTC m=+26.916097813 ,  89166231
2023-08-22 06:20:44.766820594 +0000 UTC m=+26.945225497 ,  2023-08-22 06:20:44.864882172 +0000 UTC m=+27.043287085 ,  98061478
2023-08-22 06:20:45.12805877 +0000 UTC m=+27.306463693 ,  2023-08-22 06:20:45.217072945 +0000 UTC m=+27.395477838 ,  89014084
2023-08-22 06:20:45.246063279 +0000 UTC m=+27.424468172 ,  2023-08-22 06:20:45.344897454 +0000 UTC m=+27.523302387 ,  98834095
2023-08-22 06:20:45.607870298 +0000 UTC m=+27.786275221 ,  2023-08-22 06:20:45.697908242 +0000 UTC m=+27.876313135 ,  90037854
2023-08-22 06:20:45.727076863 +0000 UTC m=+27.905481756 ,  2023-08-22 06:20:45.782024865 +0000 UTC m=+27.960429768 ,  54947922
2023-08-22 06:20:46.044282661 +0000 UTC m=+28.222687574 ,  2023-08-22 06:20:46.136024096 +0000 UTC m=+28.314428999 ,  91741355
2023-08-22 06:20:46.165095414 +0000 UTC m=+28.343500327 ,  2023-08-22 06:20:46.261230901 +0000 UTC m=+28.439635804 ,  96135397
2023-08-22 06:20:46.523988971 +0000 UTC m=+28.702393884 ,  2023-08-22 06:20:46.615927989 +0000 UTC m=+28.794332922 ,  91938878
2023-08-22 06:20:46.645052045 +0000 UTC m=+28.823456948 ,  2023-08-22 06:20:46.741330082 +0000 UTC m=+28.919734995 ,  96277936
2023-08-22 06:20:47.004097728 +0000 UTC m=+29.182502661 ,  2023-08-22 06:20:47.09469669 +0000 UTC m=+29.273101593 ,  90598842
2023-08-22 06:20:47.123839231 +0000 UTC m=+29.302244124 ,  2023-08-22 06:20:47.220021477 +0000 UTC m=+29.398426400 ,  96182166
2023-08-22 06:20:47.482360646 +0000 UTC m=+29.660765569 ,  2023-08-22 06:20:47.572471868 +0000 UTC m=+29.750876781 ,  90111122
2023-08-22 06:20:47.601525442 +0000 UTC m=+29.779930335 ,  2023-08-22 06:20:47.697562044 +0000 UTC m=+29.875966937 ,  96036542
2023-08-22 06:20:47.960025998 +0000 UTC m=+30.138430921 ,  2023-08-22 06:20:48.036875593 +0000 UTC m=+30.215280506 ,  76849475
2023-08-22 06:20:48.065959764 +0000 UTC m=+30.244364668 ,  2023-08-22 06:20:48.157981208 +0000 UTC m=+30.336386111 ,  92021373
2023-08-22 06:20:48.420968379 +0000 UTC m=+30.599373302 ,  2023-08-22 06:20:48.510909321 +0000 UTC m=+30.689314234 ,  89940802
2023-08-22 06:20:48.540139528 +0000 UTC m=+30.718544421 ,  2023-08-22 06:20:48.63729086 +0000 UTC m=+30.815695753 ,  97151262
2023-08-22 06:20:48.900166732 +0000 UTC m=+31.078571655 ,  2023-08-22 06:20:48.990617534 +0000 UTC m=+31.169022447 ,  90450682
2023-08-22 06:20:49.019738976 +0000 UTC m=+31.198143909 ,  2023-08-22 06:20:49.118773478 +0000 UTC m=+31.297178391 ,  99034382
2023-08-22 06:20:49.381399929 +0000 UTC m=+31.559804852 ,  2023-08-22 06:20:49.46988753 +0000 UTC m=+31.648292423 ,  88487511
2023-08-22 06:20:49.498966071 +0000 UTC m=+31.677370974 ,  2023-08-22 06:20:49.596678782 +0000 UTC m=+31.775083695 ,  97712640
2023-08-22 06:20:49.858767738 +0000 UTC m=+32.037172631 ,  2023-08-22 06:20:49.957887921 +0000 UTC m=+32.136292844 ,  99119612
2023-08-22 06:20:49.987519104 +0000 UTC m=+32.165924027 ,  2023-08-22 06:20:50.042631737 +0000 UTC m=+32.221036650 ,  55112513
2023-08-22 06:20:50.304977519 +0000 UTC m=+32.483382442 ,  2023-08-22 06:20:50.395112265 +0000 UTC m=+32.573517178 ,  90134636
